epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,14724.2,0.67251,0.50921,0.89686,0.7916,0.61124,0.69515,0.50427,1.01473,1.02171,1.11924,0.000391552,0.000391552,0.000391552
117,14849.5,0.67758,0.51208,0.89855,0.67382,0.65219,0.67915,0.49625,1.02052,1.05392,1.12674,0.000387052,0.000387052,0.000387052
118,14975.9,0.67096,0.50548,0.89529,0.75296,0.66021,0.70544,0.50444,1.04673,0.99138,1.14871,0.000382553,0.000382553,0.000382553
119,15101.7,0.6667,0.50118,0.8936,0.76558,0.66199,0.71065,0.50611,1.04243,1.02428,1.13436,0.000378053,0.000378053,0.000378053
120,15228.7,0.67971,0.51579,0.89689,0.79005,0.65394,0.72895,0.51838,1.01511,1.06699,1.12021,0.000373554,0.000373554,0.000373554
121,15353.9,0.68681,0.5159,0.90175,0.73734,0.67254,0.70776,0.51085,1.01285,1.04627,1.12416,0.000369054,0.000369054,0.000369054
122,15480.5,0.67402,0.50912,0.89381,0.75332,0.6286,0.70143,0.4978,1.03222,1.03428,1.13903,0.000364554,0.000364554,0.000364554
123,15607.1,0.681,0.50467,0.89498,0.7604,0.64126,0.7082,0.50961,1.02158,1.02204,1.11406,0.000360055,0.000360055,0.000360055
124,15732.2,0.66045,0.49822,0.89278,0.74473,0.66013,0.70999,0.5122,1.00391,1.02004,1.11001,0.000355555,0.000355555,0.000355555
125,15857.3,0.66511,0.50219,0.89956,0.8012,0.62361,0.70395,0.5074,1.01272,1.03852,1.12526,0.000351056,0.000351056,0.000351056
126,15983.5,0.66093,0.50338,0.89136,0.79402,0.66362,0.70568,0.51268,1.02423,1.03599,1.12415,0.000346556,0.000346556,0.000346556
127,16109.1,0.66865,0.50209,0.89164,0.81985,0.65361,0.72566,0.50623,1.05232,1.02555,1.13109,0.000342057,0.000342057,0.000342057
128,16234.2,0.66053,0.50018,0.89651,0.80821,0.63991,0.705,0.50613,1.02142,1.00372,1.12104,0.000337557,0.000337557,0.000337557
129,16360,0.65678,0.49313,0.89098,0.80416,0.68518,0.71234,0.5076,1.02078,1.01988,1.11184,0.000333058,0.000333058,0.000333058
130,16485.9,0.66933,0.50309,0.89578,0.78829,0.60955,0.70036,0.50053,1.04042,1.05382,1.14177,0.000328558,0.000328558,0.000328558
131,16611.8,0.67272,0.499,0.89955,0.72972,0.64179,0.69711,0.49693,1.03959,1.00251,1.14086,0.000324058,0.000324058,0.000324058
132,16738.2,0.6563,0.49147,0.88788,0.7029,0.66226,0.70577,0.50823,1.00887,0.99276,1.10957,0.000319559,0.000319559,0.000319559
133,16863.7,0.65997,0.49351,0.89045,0.7955,0.67004,0.72444,0.51481,0.99715,0.96142,1.12365,0.000315059,0.000315059,0.000315059
134,16990.2,0.65903,0.49262,0.89176,0.75203,0.66953,0.70875,0.5077,1.00722,1.02722,1.12871,0.00031056,0.00031056,0.00031056
135,17115.6,0.64999,0.48917,0.89278,0.7647,0.6776,0.73197,0.52717,0.98353,0.99672,1.11025,0.00030606,0.00030606,0.00030606
136,17242,0.65504,0.49748,0.89152,0.83341,0.62814,0.71831,0.52141,0.99198,0.98256,1.10181,0.000301561,0.000301561,0.000301561
137,17368.3,0.65421,0.48985,0.89369,0.80626,0.65548,0.71088,0.50979,1.0059,1.0053,1.11914,0.000297061,0.000297061,0.000297061
138,17493.9,0.64495,0.49055,0.89278,0.82258,0.63144,0.71587,0.51159,1.01096,1.01996,1.12203,0.000292562,0.000292562,0.000292562
139,17619.6,0.65638,0.49022,0.88959,0.83041,0.63155,0.7074,0.50511,1.01836,1.06009,1.12158,0.000288062,0.000288062,0.000288062
140,17744.8,0.64069,0.48066,0.88573,0.79236,0.63632,0.69318,0.49646,1.0412,1.05785,1.1357,0.000283563,0.000283563,0.000283563
141,17870.2,0.64011,0.47682,0.88516,0.80044,0.63066,0.69394,0.50008,1.03464,1.03567,1.13703,0.000279063,0.000279063,0.000279063
142,17994.9,0.6409,0.4742,0.88418,0.82799,0.61409,0.69121,0.50655,1.01492,1.04977,1.11656,0.000274563,0.000274563,0.000274563
143,18120.4,0.64607,0.47475,0.89026,0.81236,0.60925,0.69753,0.50816,1.01231,1.06582,1.12279,0.000270064,0.000270064,0.000270064
144,18245.2,0.63831,0.47464,0.88807,0.80674,0.60583,0.69922,0.50069,1.00736,1.03671,1.11829,0.000265564,0.000265564,0.000265564
145,18369.8,0.63084,0.46837,0.88568,0.70158,0.67724,0.69267,0.49733,1.02313,1.02827,1.13792,0.000261065,0.000261065,0.000261065
146,18496.1,0.64473,0.47523,0.88734,0.75781,0.61354,0.70105,0.49173,1.02795,1.07791,1.13392,0.000256565,0.000256565,0.000256565
147,18620.5,0.63046,0.47603,0.88783,0.74468,0.65301,0.69826,0.50085,1.03644,1.06946,1.13393,0.000252066,0.000252066,0.000252066
148,18747.3,0.64854,0.48121,0.88418,0.80783,0.64215,0.69888,0.50882,1.0001,1.03537,1.12284,0.000247566,0.000247566,0.000247566
149,18873,0.63518,0.46947,0.88213,0.76117,0.63417,0.69372,0.50051,1.01348,1.06428,1.12861,0.000243067,0.000243067,0.000243067
150,18997.8,0.62747,0.47015,0.88569,0.77424,0.61607,0.69366,0.48753,1.00724,1.07294,1.11633,0.000238567,0.000238567,0.000238567
151,19123.4,0.62909,0.469,0.87965,0.7841,0.62495,0.6923,0.47839,1.02263,1.09333,1.13133,0.000234068,0.000234068,0.000234068
152,19249.1,0.6322,0.46563,0.88611,0.76029,0.66297,0.70118,0.49213,1.00895,1.04234,1.11846,0.000229568,0.000229568,0.000229568
153,19375.2,0.63705,0.47155,0.88325,0.75448,0.65865,0.68597,0.49455,1.00787,1.06163,1.11803,0.000225068,0.000225068,0.000225068
154,19500.1,0.62092,0.46168,0.8827,0.76661,0.64946,0.7049,0.50218,1.00585,1.09264,1.11386,0.000220569,0.000220569,0.000220569
155,19626,0.62302,0.46007,0.8778,0.82001,0.62398,0.70483,0.51186,1.00698,1.06427,1.11085,0.000216069,0.000216069,0.000216069
156,19752.6,0.61469,0.45257,0.87448,0.77637,0.64582,0.71226,0.50516,1.03241,1.06318,1.13609,0.00021157,0.00021157,0.00021157
157,19878.7,0.61993,0.45701,0.88196,0.71247,0.7153,0.71391,0.50978,1.03462,1.03223,1.13307,0.00020707,0.00020707,0.00020707
158,20003.9,0.62151,0.45811,0.88345,0.81202,0.63391,0.71222,0.50869,1.02144,1.02859,1.13135,0.000202571,0.000202571,0.000202571
159,20128.7,0.61984,0.45586,0.87479,0.80182,0.60537,0.7067,0.50191,1.03493,1.11951,1.13892,0.000198071,0.000198071,0.000198071
160,20255.1,0.63398,0.46864,0.88745,0.83681,0.5887,0.69517,0.49624,1.02171,1.07397,1.14471,0.000193572,0.000193572,0.000193572
161,20381.4,0.61607,0.45236,0.87589,0.84659,0.59334,0.6901,0.49152,1.00147,1.05607,1.12776,0.000189072,0.000189072,0.000189072
162,20507.8,0.62041,0.45675,0.87975,0.83716,0.60725,0.69445,0.50149,0.99637,1.02824,1.12509,0.000184572,0.000184572,0.000184572
163,20633.3,0.609,0.44846,0.87917,0.82849,0.61952,0.70804,0.50617,1.0059,1.04393,1.13352,0.000180073,0.000180073,0.000180073
164,20759.5,0.61441,0.45128,0.87525,0.8243,0.60913,0.70125,0.50242,0.99885,1.02408,1.11743,0.000175573,0.000175573,0.000175573
165,20884.8,0.62214,0.45967,0.87646,0.84569,0.61605,0.70753,0.49558,1.01577,1.07235,1.12957,0.000171074,0.000171074,0.000171074
166,21008.9,0.60631,0.45069,0.87883,0.80182,0.62826,0.7118,0.50685,0.99964,1.0331,1.12566,0.000166574,0.000166574,0.000166574
167,21134.9,0.61386,0.45093,0.87875,0.80717,0.63594,0.69827,0.50149,1.00592,1.06561,1.12182,0.000162075,0.000162075,0.000162075
168,21261.1,0.61304,0.45151,0.87308,0.81225,0.6371,0.70294,0.51261,0.97966,1.06301,1.11364,0.000157575,0.000157575,0.000157575
169,21386.4,0.62092,0.45415,0.87793,0.80873,0.63534,0.70331,0.50816,0.99417,1.02064,1.1203,0.000153076,0.000153076,0.000153076
170,21509.4,0.6058,0.45647,0.87793,0.79329,0.64577,0.70287,0.5043,1.00452,1.04195,1.12565,0.000148576,0.000148576,0.000148576
171,21634,0.60717,0.44636,0.87608,0.75181,0.6685,0.69981,0.50376,1.00433,1.03573,1.1264,0.000144077,0.000144077,0.000144077
172,21759.3,0.60646,0.44565,0.87447,0.77826,0.6575,0.70381,0.5047,0.99778,1.02742,1.12239,0.000139577,0.000139577,0.000139577
173,21885.4,0.61061,0.44884,0.87417,0.80888,0.63029,0.71392,0.5116,0.99877,1.04916,1.12644,0.000135077,0.000135077,0.000135077
174,22010.3,0.60242,0.44664,0.87646,0.82327,0.62986,0.71268,0.50787,0.99715,1.04081,1.12075,0.000130578,0.000130578,0.000130578
175,22136.1,0.59915,0.4411,0.87576,0.77258,0.65102,0.71348,0.50545,1.01329,1.05196,1.12814,0.000126078,0.000126078,0.000126078
176,22260.3,0.60591,0.44131,0.87331,0.81869,0.61759,0.69732,0.50466,1.00618,1.08216,1.12479,0.000121579,0.000121579,0.000121579
177,22385.8,0.59794,0.44447,0.8748,0.76936,0.64049,0.70295,0.51143,0.99221,1.0898,1.11581,0.000117079,0.000117079,0.000117079
178,22510.5,0.59606,0.44472,0.87854,0.83438,0.61534,0.70285,0.50646,0.99804,1.07083,1.11485,0.00011258,0.00011258,0.00011258
179,22635.4,0.59313,0.43916,0.87133,0.76232,0.64856,0.7041,0.5115,1.00177,1.04388,1.11943,0.00010808,0.00010808,0.00010808
